PHARE DE POINTE AMPHITRITE: MOYENNES MENSUELLES DE LA SALINITÉ (USP) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1934,999.99,999.99,999.99,999.99,999.99,999.99,999.99,30.71,30.97,30.93,28.24,29.14
1935,27.22,27.53,28.31,29.51,31.48,31.04,30.78,31.22,30.68,30.38,30.42,29.48
1936,28.60,30.23,29.69,30.52,30.57,29.30,29.26,31.16,30.70,30.85,31.26,29.66
1937,30.56,30.46,28.97,29.40,30.00,30.02,31.28,30.69,31.22,29.35,28.27,28.73
1938,28.68,28.57,29.09,28.48,31.25,31.92,31.76,31.79,31.77,30.73,30.40,29.50
1939,27.88,28.42,999.99,999.99,999.99,999.99,31.62,31.09,31.03,30.43,26.96,28.72
1940,28.80,28.24,27.94,29.62,29.89,31.65,31.37,31.44,30.74,28.59,28.27,28.83
1941,28.63,28.51,28.77,30.54,29.04,30.82,31.42,31.73,30.18,28.23,28.90,27.99
1942,28.39,29.06,29.43,29.74,30.33,30.59,30.24,31.43,31.41,29.72,29.64,27.52
1943,29.43,28.76,29.52,27.32,30.54,31.34,31.62,31.06,30.84,30.01,29.93,29.41
1944,29.19,29.97,30.37,29.96,31.10,32.35,32.36,32.12,31.27,30.41,27.60,28.89
1945,29.15,29.51,29.89,30.20,29.64,31.63,31.53,31.89,30.71,30.30,29.15,28.57
1946,27.87,28.54,28.10,28.21,30.44,29.44,30.13,30.96,30.94,30.27,30.44,28.00
1947,28.54,28.17,29.08,29.42,30.43,30.29,29.32,31.08,31.21,29.05,30.11,29.08
1948,28.19,28.10,29.48,29.38,28.76,30.52,30.45,30.43,28.24,29.01,29.31,28.52
1949,29.90,30.27,28.55,29.14,29.15,31.33,31.61,30.22,31.07,30.22,29.50,28.86
1950,29.39,27.00,26.67,28.00,30.07,30.09,30.39,29.63,30.95,29.02,27.25,27.16
1951,28.07,27.14,29.45,30.64,31.03,31.08,31.12,31.78,31.53,30.26,29.57,29.60
1952,29.96,27.38,30.09,30.48,30.47,30.54,31.28,31.24,31.36,30.99,29.90,28.79
1953,28.08,27.97,30.39,30.41,29.51,31.16,31.16,30.41,30.73,29.02,28.62,28.54
