AMPHITRITE POINT LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1934,999.99,999.99,999.99,999.99,999.99,999.99,999.99,13.98,12.34,10.45,10.10,8.97
1935,7.33,7.63,7.40,8.86,9.95,11.62,12.74,12.53,12.77,11.26,8.14,8.38
1936,8.02,6.64,7.60,8.56,10.45,13.72,14.29,14.56,12.93,11.76,9.09,8.41
1937,6.91,6.36,8.03,9.15,10.29,11.72,12.15,12.92,11.73,11.02,10.41,9.04
1938,8.27,6.81,7.95,9.24,10.02,10.91,11.33,12.05,12.17,11.60,9.71,8.19
1939,7.94,6.70,999.99,999.99,999.99,999.99,12.50,13.77,12.37,10.94,10.53,10.08
1940,8.75,8.67,9.24,11.04,11.74,11.95,12.48,13.33,13.02,12.48,10.93,9.19
1941,8.45,9.04,9.95,11.15,12.45,13.06,14.12,13.11,13.48,12.16,10.94,9.66
1942,7.65,8.09,8.03,9.57,11.12,12.12,14.66,14.24,13.35,11.49,9.22,7.98
1943,6.79,7.04,7.46,9.56,9.98,11.39,12.37,13.00,13.10,11.62,10.22,9.16
1944,8.39,7.73,8.12,9.37,10.65,10.72,12.02,13.49,12.78,12.07,11.44,9.51
1945,9.00,8.71,8.72,9.11,11.43,10.92,11.94,12.56,11.92,10.61,8.40,7.64
1946,7.91,7.39,8.03,8.84,10.22,12.64,12.67,12.86,12.16,10.40,8.23,7.25
1947,6.47,6.80,8.15,9.27,10.26,12.42,13.34,14.27,12.55,11.31,10.26,8.45
1948,7.58,6.98,7.22,8.12,10.13,11.62,12.85,13.35,13.05,10.98,8.54,6.74
1949,5.19,5.46,7.10,8.62,10.90,10.60,11.81,13.15,12.12,10.06,9.74,8.47
1950,5.22,5.89,7.09,8.16,8.75,11.34,11.38,12.07,11.97,11.01,9.74,9.01
1951,8.15,7.28,7.06,8.79,9.92,11.09,12.90,13.40,12.20,11.50,9.84,8.39
1952,6.91,7.32,7.85,8.66,10.48,11.33,12.15,13.13,12.56,11.49,9.21,8.15
1953,8.15,8.39,8.55,9.18,11.26,11.40,11.89,13.13,13.23,11.92,10.80,9.61
1954,8.89,7.81,8.01,8.44,9.59,11.24,12.40,12.88,12.64,11.36,11.15,9.88
1955,8.37,7.58,7.37,7.98,8.80,10.43,11.55,11.84,11.79,10.79,8.63,7.40
1956,6.96,6.86,7.65,8.32,8.82,10.04,12.30,12.65,12.06,11.10,9.52,7.95
1957,6.36,6.28,7.36,8.91,10.52,11.53,12.87,13.85,14.14,12.19,11.14,9.54
1958,8.78,9.46,9.31,10.48,11.89,13.83,14.80,14.57,13.34,11.32,10.00,8.86
1959,8.15,7.90,8.46,9.54,10.76,12.08,12.29,12.95,12.97,11.25,9.11,8.29
1960,7.19,7.91,7.72,9.68,11.00,10.86,11.22,13.32,13.45,11.66,11.13,9.28
1961,8.60,8.87,9.00,9.51,11.21,11.86,14.13,13.72,12.73,10.37,8.41,7.20
1962,7.11,7.81,7.63,9.44,10.60,11.05,11.22,13.12,13.06,12.72,12.00,10.33
1963,8.15,8.76,8.60,10.09,11.86,11.43,13.50,14.25,14.31,13.18,11.34,9.95
1964,9.04,8.71,8.70,8.90,9.22,11.34,12.72,13.11,12.73,11.26,9.03,7.77
1965,7.21,7.36,8.19,8.76,9.90,11.07,11.77,12.88,12.67,11.53,11.13,9.82
1966,8.05,8.51,8.13,9.54,10.01,11.72,12.30,12.23,12.39,11.25,9.86,9.24
1967,8.41,8.41,7.89,9.11,10.05,11.90,12.72,13.15,13.34,12.63,11.25,8.76
1968,7.48,7.47,8.72,9.13,10.62,11.71,12.42,12.96,12.63,10.75,10.35,8.57
1969,6.53,6.33,7.92,9.29,11.45,12.83,12.20,12.89,12.14,11.95,10.59,9.43
1970,8.31,8.83,9.08,9.51,10.21,11.22,12.47,12.48,12.36,10.49,9.61,7.87
1971,7.50,7.39,6.93,8.63,9.76,11.82,12.78,13.66,13.47,11.09,9.18,7.64
1972,6.41,5.92,7.89,8.39,10.22,11.45,12.98,13.84,12.36,10.50,9.19,7.84
1973,6.99,7.34,8.48,9.40,10.45,11.60,12.47,12.84,12.58,11.28,9.10,8.87
1974,7.39,7.53,7.70,8.98,10.00,10.74,12.99,13.98,13.45,11.16,9.46,9.08
1975,7.54,6.71,7.55,8.80,10.31,10.77,12.02,12.59,13.14,11.53,10.05,8.46
1976,7.47,7.28,7.03,8.80,9.92,10.81,12.93,12.54,12.89,11.28,10.23,8.93
1977,7.80,8.39,8.59,9.66,10.66,11.87,11.90,14.35,13.40,11.86,9.43,8.36
1978,8.20,8.76,9.11,10.09,11.09,13.67,13.31,13.08,14.18,12.91,8.40,6.99
1979,6.01,6.11,8.14,9.25,11.50,11.55,13.61,14.01,14.88,12.35,10.54,9.69
1980,7.41,8.04,8.71,10.15,11.33,12.10,12.68,13.42,12.93,12.12,11.08,9.36
1981,9.58,9.01,9.69,9.98,11.45,12.48,13.37,13.83,13.27,12.47,11.20,9.26
1982,7.61,7.42,8.24,9.20,10.15,11.49,12.42,13.42,13.72,11.75,10.27,9.07
1983,8.89,9.51,10.64,11.37,12.92,12.73,13.91,14.20,13.51,11.41,10.89,8.20
1984,7.93,8.37,9.31,9.83,10.99,11.15,12.61,14.01,13.02,11.77,9.78,7.99
1985,7.66,7.31,7.81,9.02,10.59,11.29,13.45,14.19,12.73,11.25,8.48,6.98
1986,7.46,7.56,9.53,9.47,10.40,12.35,12.83,13.47,12.67,11.60,10.51,9.02
1987,8.54,9.13,9.47,10.23,11.20,12.00,13.08,13.56,12.98,11.57,10.61,8.69
1988,8.20,7.93,8.55,9.72,11.56,11.96,13.03,14.17,13.37,11.96,10.55,9.21
1989,7.80,6.36,7.43,9.88,10.47,12.18,13.38,13.56,14.02,11.76,10.66,9.44
1990,8.80,7.56,8.63,9.89,11.11,12.76,13.64,14.36,14.02,11.10,10.64,8.39
1991,7.24,8.14,8.30,9.73,10.66,11.43,12.52,13.18,13.85,11.53,9.64,9.00
1992,8.62,9.37,10.22,10.70,12.12,12.97,14.41,14.56,12.39,11.39,10.18,8.47
1993,6.89,7.40,8.42,10.15,12.39,12.68,13.19,13.94,12.99,11.66,9.40,8.04
