CHROME ISLAND LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1961,999.99,999.99,999.99,27.66,27.70,25.60,25.58,26.79,27.69,28.69,29.08,28.82
1962,999.99,999.99,999.99,29.47,28.61,26.93,25.07,26.73,27.10,28.23,27.90,26.05
1963,27.22,28.00,28.42,28.52,27.85,27.68,26.05,26.61,27.77,28.54,27.89,27.55
1964,27.63,27.71,28.25,28.77,28.94,26.42,23.73,25.65,26.88,27.63,28.33,28.69
1965,28.95,28.64,28.48,29.06,28.44,27.30,25.46,26.43,27.31,28.41,28.11,28.02
1966,28.06,28.33,28.91,28.25,27.97,27.14,24.25,25.21,27.32,28.38,27.62,27.67
1967,27.57,27.59,28.07,28.40,28.02,24.32,23.47,23.81,27.25,28.25,27.44,27.68
1968,27.98,27.78,27.75,27.76,27.97,26.25,24.41,26.30,26.87,28.07,27.13,26.76
1969,27.99,28.46,28.54,28.51,27.09,22.94,24.39,26.90,27.50,27.34,27.26,27.64
1970,28.40,28.77,28.30,28.41,28.93,28.23,27.96,27.77,28.51,28.97,29.16,29.25
1971,29.26,28.28,28.67,28.84,27.73,27.14,24.63,26.31,27.13,27.95,27.98,28.48
1972,28.80,29.12,28.18,28.35,27.37,24.65,24.12,25.01,27.39,28.54,29.10,28.89
1973,28.41,28.92,28.91,29.22,29.06,28.47,26.54,27.80,28.69,29.29,28.92,28.12
1974,28.15,28.28,28.11,27.79,27.85,26.07,24.80,26.63,27.32,29.15,28.94,29.47
1975,29.38,29.63,29.88,30.22,30.15,28.89,25.75,27.59,28.15,29.72,28.17,27.66
1976,28.68,29.15,29.41,29.48,29.27,27.13,25.96,26.14,26.47,28.45,29.05,28.67
1977,29.17,29.06,29.29,29.97,29.71,28.39,28.21,27.44,28.47,29.20,28.74,28.95
1978,28.42,28.78,29.16,29.18,28.75,27.55,27.23,27.02,27.66,28.23,28.67,29.22
1979,29.35,29.34,29.28,29.57,29.53,28.42,26.90,28.06,28.57,29.08,29.06,29.26
1980,28.93,28.94,28.85,29.19,28.72,27.55,26.02,27.38,28.48,28.97,28.70,27.10
1981,27.04,27.63,27.86,28.30,28.06,26.49,26.05,26.89,28.19,28.45,28.19,27.75
1982,28.54,28.35,28.34,28.43,27.89,25.85,24.73,25.11,27.38,28.11,27.86,27.79
1983,27.57,27.83,27.23,27.05,27.55,26.81,26.06,25.68,26.99,28.25,27.88,27.17
1984,27.78,28.22,28.16,28.14,27.77,27.54,25.99,26.62,27.65,27.39,27.42,27.65
1985,28.25,29.05,29.49,29.17,29.14,27.36,27.56,28.04,28.32,29.03,28.70,29.28
1986,29.31,29.12,29.32,28.67,28.74,27.24,26.70,27.40,28.45,29.32,29.86,29.42
1987,29.05,29.03,28.70,28.86,28.63,27.89,27.30,27.90,28.94,29.40,30.21,30.05
1988,29.93,29.99,29.84,29.66,28.86,26.69,26.16,27.69,28.75,29.19,29.06,28.93
1989,29.12,28.85,29.52,28.91,28.51,27.02,27.49,27.85,28.35,29.32,29.43,28.36
1990,29.33,29.01,29.14,28.44,28.53,26.46,26.09,27.51,28.54,29.16,27.90,27.29
1991,28.00,26.92,27.66,28.60,27.96,27.41,26.59,26.86,26.99,28.13,28.49,28.69
1992,28.13,27.04,27.78,28.77,28.24,28.17,27.68,27.80,28.96,28.95,28.27,28.70
1993,28.63,28.92,28.78,28.97,27.84,26.43,27.30,27.80,28.80,28.88,29.13,28.18
1994,27.81,27.85,27.97,28.05,28.24,26.69,26.69,27.50,28.21,28.89,28.98,28.42
1995,27.43,27.34,27.83,28.27,28.06,28.51,28.03,27.86,28.44,28.56,27.64,26.81
1996,26.35,26.82,27.15,27.73,26.92,27.45,26.62,28.21,28.25,28.50,28.07,28.39
