PHARE DE L'ÎLE ENTRÉE: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1936,999.99,999.99,999.99,999.99,14.09,15.7,18.52,19.1,15.06,12.56,9.66,8.69
1937,6.83,6.3,7.35,8.6,10.84,13.06,17.06,16.2,15.47,11.41,8.83,8.24
1938,7.47,7.14,7.16,8.73,12.12,15.9,17.08,16.76,16.03,12.08,9.08,7.36
1939,6.97,6.36,6.57,7.74,12.11,13.14,15.3,15.42,14.18,10.87,9.01,7.94
1940,7.08,7.12,7.97,10.38,12.88,15.21,16.58,16.64,15.91,13.33,7.73,7.67
1941,6.6,6.87,6.51,10.15,11.88,14.64,17.78,17.42,13.82,11.58,10.12,9.37
1942,7.8,7.63,8.07,9.46,12.18,15,18.86,18.98,15.22,11.61,9.43,8.36
1943,7.04,7.19,7.49,8.81,11.94,14.51,17.1,17.89,15.23,11.95,9.8,8.57
1944,7.47,7.27,7.52,9.01,11.84,14.3,16.68,16.56,15.52,12.08,9.68,7.97
1945,7.64,7.7,8.04,8.71,12.39,15.18,16.98,17.11,13.81,11.86,8.73,7.38
1946,7.39,7.1,7.48,8.42,12.72,15.14,15.88,16.8,14.66,10.95,8.49,7.26
1947,6.93,6.79,7.78,9.29,12.1,14.91,16.26,16.98,14.89,10.65,8.82,8.19
1948,6.88,6.89,7.22,8.29,10.71,16.21,16.5,15.55,13.63,10.98,8.71,6.94
1949,6.01,6.33,7,8.52,12.21,14.72,16.67,15.73,15.04,10.72,9.38,7.2
1950,4.89,6.26,6.48,7.79,10.61,14.5,17.75,16.89,14.32,10.05,8.1,7.23
1951,6.52,5.7,5.83,9.12,12.37,14.51,17.61,17.51,14.45,10.52,8.62,7.28
1952,7.03,6.22,6.86,8.41,11.38,13.46,16.88,16.35,13.77,12.54,8.95,8.21
1953,7.34,6.9,7.46,9.12,12.19,14.36,17.14,16.41,15.09,10.95,9.34,7.81
1954,6.76,6.89,7.05,8.38,12.31,13.2,15.97,16.83,14.25,10.99,9.51,7.91
1955,6.81,6.71,6.66,8.55,10.63,13.01,16.18,17.02,13.77,10.48,7.68,6.18
