PHARE DE L'ÎLE DE LANGARA: MOYENNES MENSUELLES DE LA SALINITÉ (USP) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1936,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,31.88,32.04,31.86
1937,32.07,32.52,32.36,32.44,32.36,32.34,31.89,32.28,999.99,999.99,999.99,999.99
1938,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1939,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1940,999.99,999.99,32.13,32.38,32.29,32.30,32.32,31.84,32.26,32.38,32.17,32.11
1941,32.23,32.38,32.36,32.27,32.27,32.14,32.11,32.17,32.23,32.20,31.98,32.23
1942,32.14,32.20,32.21,32.23,32.15,32.34,32.27,32.50,32.80,32.41,32.27,32.27
1943,32.35,32.18,32.26,32.30,32.44,999.99,999.99,32.60,32.58,32.41,32.35,32.30
1944,32.37,32.30,32.53,32.46,32.45,32.49,32.35,32.66,32.38,32.09,32.11,32.18
1945,32.26,32.28,32.44,32.12,32.29,32.64,32.57,32.43,32.40,32.17,32.44,32.18
1946,32.02,32.16,32.16,32.52,32.55,32.47,32.18,32.21,31.71,32.10,32.30,32.30
1947,32.33,32.30,32.24,32.35,32.36,32.35,32.14,32.15,32.16,32.07,32.02,32.24
1948,31.92,32.45,32.32,32.64,32.43,32.27,32.45,32.42,32.13,32.12,32.04,32.03
1949,31.94,32.57,32.56,32.18,32.45,32.13,32.17,31.95,32.17,32.14,31.64,31.63
1950,32.70,32.37,32.44,32.31,32.25,32.40,31.95,32.09,31.98,32.09,31.82,31.72
1951,31.80,32.16,32.26,32.31,32.29,32.13,32.24,32.29,32.26,32.26,32.19,32.23
1952,32.26,32.06,32.27,32.16,32.16,32.27,31.74,32.30,32.21,32.01,32.10,32.08
1953,32.19,32.23,32.19,32.24,32.15,32.11,32.01,31.92,31.90,31.82,31.81,32.01
1954,32.18,31.94,32.12,32.29,32.35,32.22,32.02,32.06,32.27,32.16,32.02,31.75
1955,31.99,31.84,32.13,31.97,32.03,32.06,32.06,32.06,32.28,31.97,32.37,32.29
1956,32.33,32.40,32.14,32.17,32.25,32.18,32.20,32.18,32.10,32.28,32.21,32.27
1957,32.19,32.49,32.48,32.49,32.42,32.31,31.65,32.24,32.29,32.23,32.01,31.92
1958,32.11,32.22,32.20,31.05,31.40,32.14,32.14,32.15,32.21,31.80,32.01,32.00
1959,31.95,31.98,32.01,32.20,32.37,32.40,32.05,32.21,32.00,31.95,31.88,31.96
1960,32.00,32.09,32.19,32.23,32.36,32.18,31.71,32.19,32.22,31.95,31.96,31.90
1961,32.06,32.00,31.98,31.89,32.21,32.02,31.76,32.19,32.29,31.94,31.71,31.94
1962,31.94,32.02,32.36,32.16,32.33,999.99,32.31,32.02,32.03,32.03,31.92,31.91
1963,32.14,32.12,32.02,32.06,31.95,31.86,32.27,32.31,32.02,31.96,31.75,31.98
1964,31.92,31.82,32.03,32.07,32.27,32.31,31.92,31.92,32.01,32.04,31.90,32.00
1965,32.21,32.16,32.42,32.29,32.21,32.29,32.40,32.24,32.39,32.20,31.94,32.11
1966,32.24,32.02,32.08,32.07,32.20,32.36,31.70,32.17,32.07,31.90,32.01,32.04
1967,32.12,32.09,32.34,32.26,32.11,32.06,31.77,31.83,31.74,31.69,31.74,31.89
1968,32.09,32.14,32.09,32.15,32.22,32.26,32.29,32.02,31.90,31.91,31.97,31.86
1969,32.02,31.99,32.15,32.10,32.23,32.05,32.20,32.06,32.03,32.01,31.83,31.72
1970,31.95,31.56,32.31,32.61,32.71,32.89,32.65,31.76,31.95,32.18,32.40,32.72
1971,32.52,32.46,32.50,32.52,32.32,32.80,32.49,32.70,32.29,32.51,32.78,32.66
1972,32.20,32.00,32.01,32.03,31.88,31.51,31.72,32.08,32.13,32.49,32.26,32.44
1973,32.49,32.43,32.50,32.61,32.51,32.45,32.05,32.27,31.96,31.74,31.96,31.83
1974,31.95,31.82,32.06,31.94,32.11,31.98,31.66,32.01,31.82,31.32,31.50,31.68
1975,32.01,32.14,32.55,32.36,32.48,32.16,32.04,32.09,32.09,31.97,31.81,31.94
1976,32.45,32.55,32.43,32.43,32.47,32.40,32.11,32.11,32.20,32.15,32.42,32.36
1977,32.31,32.52,32.52,32.53,32.33,32.03,32.34,32.62,32.26,32.13,31.82,31.83
1978,31.98,31.46,31.23,31.44,31.01,31.19,31.60,31.47,31.48,31.32,31.07,31.32
1979,31.62,31.80,31.91,31.88,32.20,32.12,31.07,31.84,31.89,31.92,31.94,31.89
1980,31.93,32.04,31.98,31.97,32.44,32.31,32.21,31.85,32.06,31.96,31.68,31.67
1981,31.94,32.04,31.96,32.00,32.10,31.89,31.84,32.09,31.78,31.82,31.77,31.75
1982,31.77,31.91,32.00,32.14,31.72,32.02,31.87,32.06,32.48,31.96,31.76,31.78
1983,31.82,31.86,31.94,32.12,31.83,32.00,32.26,31.74,31.63,31.60,31.61,31.78
1984,31.93,31.90,31.77,31.73,31.94,31.71,31.63,31.25,31.51,31.48,31.65,31.63
1985,31.77,31.80,32.04,32.64,32.53,32.17,32.14,32.14,32.60,32.11,32.22,32.41
1986,32.34,32.16,32.14,32.11,31.94,32.33,32.33,32.17,32.06,31.76,31.91,32.33
1987,32.15,32.10,32.16,31.98,31.92,31.23,31.08,31.60,31.87,31.73,31.56,31.56
1988,31.99,31.92,31.81,31.98,31.86,31.79,31.74,31.85,32.04,32.09,31.90,31.94
