NOOTKA POINT LIGHTSTATION: AVERAGE MONTLY SEA SURFACE TEMPERATURES ( C ),,,,,,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,
1934,8.00,999.99,999.99,999.99,999.99,999.99,999.99,16.54,14.73,11.71,9.05,7.54,,,,
1935,5.07,6.60,6.43,9.21,11.39,13.71,15.42,15.49,14.50,11.61,8.29,7.70,,,,
1936,7.15,6.40,6.79,9.25,11.98,15.27,17.20,16.55,14.87,12.87,10.28,999.99,,,,
1937,6.30,6.70,8.75,9.64,12.03,13.17,14.94,14.64,13.71,10.87,8.14,7.35,,,,
1938,6.10,5.57,6.62,9.11,11.11,13.34,13.99,14.71,15.39,12.32,8.45,7.02,,,,
1939,999.99,6.12,7.67,9.61,11.56,13.54,14.61,14.82,13.56,10.39,8.75,8.11,,,,
1940,6.87,7.00,7.69,10.16,12.02,13.58,15.71,15.96,15.70,12.58,9.71,8.30,,,,
1941,7.94,8.05,9.86,11.63,13.12,14.84,16.69,16.39,15.04,12.34,10.24,8.08,,,,
1942,8.01,7.90,8.10,10.01,12.50,14.14,16.53,16.55,14.16,12.19,8.49,7.07,,,,
1943,6.21,6.28,7.25,9.23,11.49,13.14,14.73,15.64,14.83,12.11,9.78,8.14,,,,
1944,7.31,7.47,7.83,9.84,11.77,13.21,14.66,15.89,15.11,12.80,9.86,8.75,,,,
1945,7.88,7.60,7.75,9.13,12.04,13.79,14.64,15.54,13.89,11.62,7.80,6.26,,,,
1946,6.64,6.59,7.29,8.76,12.08,13.95,14.90,15.95,14.78,10.44,7.50,6.10,,,,
1947,5.36,6.51,8.32,9.41,12.66,14.63,15.66,16.75,14.69,11.34,9.06,7.69,,,,
1948,7.16,6.89,7.37,8.86,11.22,15.25,15.61,15.43,14.57,11.63,8.34,5.87,,,,
1949,5.22,5.84,7.20,8.74,12.28,12.86,14.60,15.42,14.61,11.26,10.00,7.39,,,,
1950,4.45,4.82,6.31,7.65,10.28,13.93,15.26,15.86,13.98,10.95,8.02,8.06,,,,
1951,6.85,6.08,6.71,9.88,12.26,13.27,15.36,15.38,13.29,11.57,9.14,6.93,,,,
1952,6.15,5.73,6.98,8.26,10.63,13.53,15.28,15.33,14.60,12.87,9.02,7.53,,,,
1953,6.43,6.30,8.08,8.75,12.02,12.91,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1954,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1955,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1956,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1957,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1958,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1959,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1960,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1961,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1962,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1963,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1964,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1965,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1966,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1967,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1968,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1969,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1970,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1971,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1972,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1973,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1974,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1975,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1976,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1977,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1978,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1979,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1980,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1981,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1982,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1983,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1984,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1985,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1986,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
1987,999.99,999.99,999.99,10.45,12.42,13.68,15.22,15.79,14.57,12.85,10.19,7.87,,,,
1988,7.79,7.42,8.58,10.22,11.91,13.39,14.78,14.99,14.02,12.35,9.20,7.96,,,,
1989,6.85,5.69,6.65,9.51,12.51,14.70,14.92,15.49,15.28,11.97,9.49,8.42,,,,
1990,7.83,6.59,8.12,10.90,12.50,14.10,16.55,17.34,16.07,11.74,9.13,7.08,,,,
1991,6.57,7.61,8.17,9.92,12.21,13.51,15.37,16.26,15.11,12.31,9.40,8.14,,,,
1992,7.84,8.26,10.07,11.06,13.26,14.91,16.71,16.45,14.02,11.98,9.72,7.68,,,,
1993,6.80,7.08,8.45,9.92,12.55,14.55,15.24,16.44,14.74,12.78,9.37,7.80,,,,
1994,8.23,7.07,8.19,10.74,12.67,14.28,15.80,17.61,15.81,11.79,7.92,7.06,,,,
1995,7.64,7.49,8.41,10.51,13.05,14.97,16.22,16.18,16.23,12.91,10.38,8.59,,,,
1996,7.68,7.76,8.55,10.09,11.69,14.14,15.40,15.85,14.81,11.55,9.12,6.70,,,,
1997,6.26,7.61,7.28,9.35,12.34,14.46,15.50,16.12,16.08,12.81,10.77,8.86,,,,
1998,7.12,8.06,8.93,10.52,12.57,13.98,16.12,16.74,14.79,11.62,9.12,7.30,,,,
1999,6.77,6.73,7.25,9.08,10.79,12.62,14.01,15.75,13.86,10.94,8.31,7.13,,,,
2000,6.43,7.02,7.86,10.05,11.30,13.61,14.99,15.44,14.50,11.48,8.93,6.86,,,,
2001,7.02,6.75,7.74,9.40,11.13,13.14,14.40,14.83,14.24,11.04,8.19,7.15,,,,
2002,6.91,6.94,7.21,9.42,10.93,14.45,14.99,15.94,14.89,11.57,8.68,8.24,,,,
2003,8.03,8.03,7.76,9.58,11.61,14.37,15.94,16.42,14.64,12.43,8.80,7.10,,,,
2004,7.13,7.93,8.68,10.81,13.47,15.08,16.31,17.05,14.94,12.62,9.82,8.10,,,,
2005,7.52,7.38,9.11,9.71,13.20,14.47,15.82,15.95,14.96,11.70,9.31,8.83,,,,
2006,7.89,7.51,7.70,9.55,12.14,15.02,15.86,15.77,14.44,11.55,8.02,7.31,,,,
2007,6.07,6.83,7.19,9.06,11.78,13.47,15.99,17.05,14.57,10.97,8.85,7.07,,,,
2008,6.32,6.61,6.94,8.65,11.37,13.02,15.08,15.80,14.26,11.06,9.38,7.30,,,,
2009,5.71,6.34,6.70,9.15,11.45,14.50,15.02,16.38,14.94,11.64,9.07,6.43,,,,
2010,7.91,8.26,8.63,9.85,11.64,13.67,15.55,15.92,14.39,12.48,9.43,7.42,,,,
2011,6.88,6.72,7.49,8.99,11.26,13.68,15.13,16.67,15.06,11.78,8.80,6.85,,,,
2012,6.33,7.20,6.20,9.84,12.06,14.47,16.47,17.01,15.68,11.90,9.63,7.88,,,,
2013,7.69,8.37,8.19,10.91,13.35,13.86,16.34,16.24,16.63,12.73,9.66,6.98,,,,
2014,6.82,6.19,8.00,10.10,13.80,15.04,16.36,17.52,16.15,13.21,8.97,8.16,,,,
2015,8.79,9.53,10.21,11.10,13.40,15.44,16.63,18.11,14.79,13.53,9.65,8.21,,,,
2016,7.48,8.12,9.10,999.99,999.99,15.20,16.29,999.99,14.74,11.77,10.45,7.76,,,,
2017,7.30,6.70,7.06,9.90,12.37,15.00,16.14,17.55,999.99,12.22,9.07,7.70,,,,
2018,7.43,7.06,8.29,9.85,13.88,14.67,15.92,17.28,15.36,13.31,9.82,8.25,,,,
2019,7.90,7.10,9.31,11.23,14.48,15.25,17.72,18.22,16.26,11.94,9.97,7.70,,,,
2020,7.22,6.98,8.54,10.97,13.48,15.02,16.40,17.41,16.48,13.63,9.33,7.90,,,,
2021,7.71,7.27,8.53,11.24,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
