PHARE DE L'ÎLE BONILLA: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1960,999.99,999.99,999.99,7.39,9.09,10.55,12.53,11.77,11.23,10.45,8.91,7.31
1961,6.90,6.52,6.97,8.18,9.95,11.58,12.56,12.17,12.07,10.06,7.58,5.80
1962,5.64,5.77,5.38,7.03,8.80,10.37,10.85,11.83,11.34,10.50,9.29,8.16
1963,6.97,7.56,7.43,8.16,10.03,11.22,11.65,12.01,12.84,11.94,9.41,8.22
1964,7.58,7.42,7.04,7.60,8.79,11.17,12.41,13.07,11.64,10.69,7.83,6.09
1965,5.50,5.68,6.28,7.01,8.84,10.72,11.55,10.85,9.91,10.08,7.77,7.63
1966,6.05,6.63,6.89,8.00,8.98,11.05,12.11,12.71,12.32,10.54,8.37,6.84
1967,6.70,6.75,6.62,7.73,9.61,10.90,12.75,13.00,13.62,11.71,9.59,7.50
1968,6.14,5.99,7.14,7.73,9.70,12.19,13.41,12.81,13.03,10.44,8.49,6.66
1969,4.43,4.43,5.95,6.82,9.76,11.69,12.52,12.19,11.91,10.94,9.40,8.17
1970,6.54,7.32,7.39,7.88,9.36,11.48,12.24,11.95,10.96,9.77,8.38,6.14
1971,5.10,5.54,5.72,6.94,8.59,10.37,12.03,13.41,12.54,10.43,8.18,6.14
1972,4.43,4.41,5.44,6.24,8.80,10.65,11.69,12.28,10.82,9.38,7.91,6.50
1973,6.09,6.15,6.63,7.96,9.31,10.95,11.82,11.57,11.91,9.98,6.78,6.78
1974,5.51,5.81,6.58,7.83,9.51,11.21,12.15,12.55,11.16,10.33,8.64,7.59
1975,6.26,5.13,5.47,6.75,8.39,9.85,11.73,11.48,11.25,9.88,7.69,6.74
1976,6.21,5.67,5.70,6.96,8.31,9.91,11.98,12.47,12.23,10.66,9.02,7.87
1977,6.93,7.55,7.26,8.01,9.97,11.62,12.56,12.37,11.76,10.45,8.28,6.27
1978,5.85,6.56,7.20,8.28,9.81,10.75,10.93,12.76,12.75,11.34,9.03,7.29
1979,5.35,5.05,6.26,7.64,9.27,11.19,12.06,12.19,12.72,11.68,9.72,8.23
1980,6.53,6.89,7.10,7.95,9.30,11.11,12.41,12.35,11.10,10.98,9.80,7.75
