DEPARTURE BAY (PBS) LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1914,7.20,999.99,999.99,999.99,999.99,999.99,999.99,999.99,12.59,11.13,9.05,7.17
1915,7.04,7.48,8.65,10.51,12.46,15.06,17.20,17.94,15.42,10.98,7.64,6.12
1916,4.37,4.87,5.56,7.54,11.05,13.82,15.19,17.34,14.42,10.01,6.98,5.47
1917,5.27,4.95,5.47,6.98,10.68,13.69,16.35,16.78,13.08,10.84,8.44,6.47
1918,5.70,5.09,5.74,7.98,11.62,14.30,16.12,16.51,16.54,11.24,8.44,7.05
1919,6.64,6.01,6.81,8.81,11.45,14.12,17.55,17.54,15.33,11.15,8.40,6.21
1920,6.45,6.26,7.34,9.07,11.58,14.74,18.07,17.74,13.74,10.56,8.67,7.29
1921,6.20,6.28,7.44,9.07,12.50,14.80,17.59,16.95,12.76,10.45,7.80,5.81
1922,6.11,5.43,6.77,8.27,11.10,15.60,16.44,15.41,13.66,10.37,7.73,6.03
1923,4.31,4.62,5.91,9.07,11.54,15.68,18.37,18.25,15.33,11.65,8.94,6.59
1924,5.96,6.71,7.88,9.18,11.00,14.97,16.52,16.56,15.35,10.23,7.07,6.32
1925,4.85,5.58,6.94,9.68,12.05,17.83,17.64,17.26,14.18,11.25,8.00,7.75
1926,7.69,8.59,9.51,11.63,12.22,15.86,17.65,16.45,14.19,10.85,9.48,6.97
1927,5.89,6.25,7.14,8.65,11.17,15.51,16.20,17.34,13.85,11.03,7.73,6.28
1928,5.63,6.03,7.81,9.15,12.30,15.50,17.77,17.28,14.99,11.06,9.28,7.73
1929,6.59,6.78,7.89,9.33,999.99,14.62,16.61,16.89,15.42,11.73,9.11,7.98
1930,5.57,6.25,7.16,9.97,11.90,14.02,16.97,17.88,15.02,10.36,8.31,7.38
1931,7.22,6.85,8.00,10.90,14.37,16.05,18.92,18.46,14.68,10.85,8.19,6.65
1932,5.42,6.12,6.99,9.36,13.17,16.45,16.47,17.57,999.99,999.99,999.99,999.99
1933,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1934,999.99,999.99,999.99,999.99,999.99,17.53,17.23,17.68,15.12,10.98,9.26,7.60
