PHARE DE L'ÎLE KAINS: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,
1935,7.06,7.73,7.60,8.57,9.77,11.60,12.29,12.37,12.56,10.98,8.24,8.22,,,,
1936,7.65,6.61,7.01,8.18,10.27,12.96,15.43,13.82,12.25,11.60,9.15,8.37,,,,
1937,6.60,6.26,7.53,8.48,10.35,11.66,12.55,13.25,12.94,11.34,9.90,9.33,,,,
1938,8.33,7.61,8.25,9.43,10.50,11.36,12.05,12.29,13.88,11.96,8.95,7.36,,,,
1939,7.10,6.20,7.53,8.45,10.15,10.66,12.79,13.54,13.25,10.82,10.50,10.22,,,,
1940,9.80,8.96,9.17,10.37,11.23,12.51,12.95,14.20,14.35,12.51,10.65,9.60,,,,
1941,8.85,8.95,10.05,10.93,11.47,13.24,13.86,14.21,13.89,12.03,10.59,8.87,,,,
1942,8.86,8.76,8.45,9.43,10.85,12.25,13.63,13.74,12.58,11.90,9.10,7.76,,,,
1943,6.58,7.06,7.63,8.85,9.98,11.53,12.58,13.37,13.02,11.56,9.95,8.91,,,,
1944,8.21,8.20,8.20,8.95,10.22,11.68,12.68,13.13,13.05,12.58,10.49,9.77,,,,
1945,9.67,8.66,8.21,8.53,9.65,10.82,11.78,12.32,11.36,10.67,8.12,7.16,,,,
1946,7.41,7.15,7.54,7.99,10.24,12.03,13.16,13.03,12.60,10.45,7.98,6.84,,,,
1947,6.23,6.57,7.81,8.83,10.34,12.23,13.68,12.89,12.83,11.22,9.71,8.81,,,,
1948,7.77,7.19,7.37,8.24,9.98,11.65,12.35,12.66,12.67,11.00,8.96,7.11,,,,
1949,6.31,5.86,6.90,8.09,10.11,10.85,12.28,13.70,12.80,11.18,10.00,8.24,,,,
1950,6.21,5.64,6.58,7.36,8.67,11.18,12.19,13.27,12.45,10.98,8.98,9.36,,,,
1951,7.97,7.29,7.25,8.51,10.52,10.62,12.61,12.79,12.17,11.88,9.77,8.29,,,,
1952,7.06,7.01,7.63,7.98,9.33,10.40,11.13,12.80,12.42,11.87,10.13,8.43,,,,
1953,7.82,7.94,7.99,8.68,10.13,11.22,12.91,12.64,13.61,11.28,10.11,9.28,,,,
1954,7.77,7.60,7.83,8.39,9.81,11.25,11.99,12.68,14.20,11.39,10.50,9.23,,,,
1955,8.62,7.98,7.05,7.89,9.11,10.04,11.88,11.87,12.18,10.41,8.04,6.40,,,,
1956,6.27,6.30,6.54,7.95,9.57,11.24,11.98,13.11,13.58,11.15,9.28,7.99,,,,
1957,6.86,6.65,6.93,8.29,10.47,12.11,13.04,14.79,13.60,11.88,10.26,9.25,,,,
1958,8.77,9.04,9.04,9.74,11.22,13.01,13.07,13.47,13.07,11.23,9.36,8.43,,,,
1959,7.72,7.67,7.97,8.62,10.30,11.69,12.54,12.13,12.86,11.48,8.98,8.15,,,,
1960,7.19,7.55,7.32,8.54,10.22,10.78,11.54,13.05,12.68,11.14,9.53,8.62,,,,
1961,8.33,8.35,8.40,9.46,10.97,12.49,13.68,13.86,13.14,10.26,8.35,7.19,,,,
1962,7.07,7.41,7.39,8.79,9.73,11.60,12.35,12.87,12.19,11.46,10.47,9.15,,,,
1963,8.56,8.57,8.22,9.26,10.87,11.71,13.08,13.98,15.49,13.26,10.57,9.84,,,,
1964,8.85,8.58,8.28,8.73,9.25,12.12,12.63,13.39,11.94,11.04,9.03,7.54,,,,
1965,6.52,6.80,7.68,8.41,9.55,10.64,12.39,13.96,11.43,10.72,9.84,9.00,,,,
1966,8.29,8.31,7.92,8.89,9.64,11.18,12.65,12.59,13.28,11.38,8.97,8.12,,,,
1967,7.78,7.65,7.79,8.70,10.45,11.58,13.06,14.07,14.97,12.78,10.54,8.55,,,,
1968,7.40,7.11,8.14,8.45,10.56,12.09,13.13,13.25,13.03,10.59,9.46,8.06,,,,
1969,6.73,6.24,7.53,8.18,10.11,12.44,12.05,12.57,12.32,11.44,10.24,8.85,,,,
1970,7.47,7.78,8.10,8.31,9.46,10.70,11.55,12.22,11.46,9.92,8.25,6.42,,,,
1971,6.02,6.61,6.72,7.69,9.06,10.86,12.35,14.31,12.98,10.89,8.47,6.86,,,,
