PHARE DE L'ÎLE MCINNES: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,
1954,999.99,999.99,999.99,999.99,999.99,999.99,12.71,12.51,12.99,999.99,999.99,999.99,,,,
1955,7.18,6.88,6.29,6.95,8.65,10.36,12.55,13.20,12.28,9.91,6.83,6.03,,,,
1956,5.73,5.40,5.42,6.74,9.15,10.99,11.92,13.24,12.74,9.90,7.77,6.89,,,,
1957,4.69,5.09,5.89,7.08,9.19,11.56,12.91,14.48,13.70,10.08,8.67,7.92,,,,
1958,7.15,7.25,7.58,9.03,10.58,12.40,12.54,14.18,12.90,10.56,8.20,7.66,,,,
1959,6.69,6.51,7.11,7.88,9.44,11.58,13.63,13.09,12.59,10.34,8.12,7.38,,,,
1960,6.39,6.57,6.36,7.62,9.91,11.01,12.49,12.97,12.49,10.54,8.64,7.83,,,,
1961,7.33,7.36,7.30,8.42,10.32,12.23,13.11,13.81,13.12,10.45,7.82,6.79,,,,
1962,6.06,6.06,5.83,7.07,8.81,10.94,12.11,13.33,12.73,10.69,9.82,8.08,,,,
1963,7.31,7.60,7.55,8.23,10.07,11.62,13.39,13.85,14.05,11.91,9.71,8.30,,,,
1964,7.82,7.64,7.31,7.76,8.93,12.08,13.26,14.12,12.46,10.45,7.87,6.99,,,,
1965,5.84,5.76,6.17,7.35,8.84,10.52,12.59,12.97,11.35,9.75,8.24,7.81,,,,
1966,6.55,6.82,6.87,7.65,8.92,11.27,12.86,13.46,12.59,10.47,8.23,7.38,,,,
1967,6.78,6.88,6.45,7.67,9.89,11.65,13.28,14.64,14.13,11.53,9.42,7.67,,,,
1968,6.44,6.02,7.17,7.61,9.80,12.54,13.83,13.48,13.13,10.53,8.64,7.13,,,,
1969,5.15,5.11,6.27,7.12,9.10,12.61,12.98,12.68,12.10,11.08,9.49,7.85,,,,
1970,7.01,7.14,7.46,7.85,9.04,10.94,12.31,13.02,12.05,10.23,7.99,6.55,,,,
1971,5.59,5.65,5.85,6.71,8.18,10.77,12.84,13.88,12.46,10.45,7.99,6.00,,,,
1972,4.99,4.88,5.55,6.42,8.52,10.60,12.70,13.58,11.09,8.75,7.63,6.41,,,,
1973,5.92,5.87,6.35,7.39,9.08,11.09,12.16,13.24,12.59,10.33,7.18,6.71,,,,
1974,6.17,6.09,6.30,7.62,8.86,10.65,12.85,12.92,13.60,10.87,8.70,7.84,,,,
1975,6.41,5.62,6.09,6.96,9.06,10.44,12.51,12.52,11.82,10.39,8.28,6.87,,,,
1976,6.47,6.16,5.83,7.06,8.50,10.58,12.84,12.93,12.47,10.65,8.80,7.72,,,,
1977,6.51,7.36,7.17,8.17,9.48,10.93,12.30,14.45,13.49,10.95,8.10,6.75,,,,
1978,6.57,7.03,7.00,8.27,9.76,10.90,11.21,13.54,12.98,11.28,8.81,7.13,,,,
1979,5.95,5.56,6.40,8.06,9.96,11.39,13.54,14.33,14.12,12.10,9.29,7.99,,,,
1980,6.82,6.78,7.14,8.07,9.92,11.48,13.45,13.12,12.02,10.71,9.56,7.72,,,,
1981,7.77,7.59,8.19,8.42,9.95,12.01,12.47,13.39,14.06,11.36,9.84,8.45,,,,
1982,7.08,6.54,6.60,7.61,8.81,11.23,13.05,13.56,13.00,10.67,8.32,7.60,,,,
1983,7.33,7.90,8.19,9.74,11.38,12.27,14.63,14.79,13.51,11.42,9.36,7.86,,,,
1984,7.80,7.68,8.11,8.50,9.83,11.45,12.97,14.39,13.26,10.91,8.48,7.09,,,,
1985,6.82,6.46,6.66,7.65,9.23,11.28,13.18,12.10,11.57,10.04,7.08,6.13,,,,
