PHARE DE L'ÎLE PIN: MOYENNES MENSUELLES DE LA SALINITÉ (USP) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1937,32.13,32.21,32.02,31.74,31.78,31.64,31.95,31.76,32.06,32.01,31.64,31.38
1938,31.31,31.39,31.29,31.23,31.76,32.12,32.10,32.09,31.91,32.20,32.02,31.61
1939,31.55,31.70,32.00,31.95,32.07,32.12,31.95,31.95,32.12,32.27,31.60,31.05
1940,31.08,31.29,31.38,31.51,31.66,31.86,31.89,31.99,32.12,32.00,31.49,31.47
1941,31.32,31.06,31.38,31.58,31.81,31.88,32.07,32.05,32.06,32.07,31.62,31.23
1942,31.37,31.34,31.57,31.85,31.81,31.68,31.65,31.95,32.25,32.27,32.07,31.84
1943,31.68,31.81,31.80,31.72,31.79,32.21,32.13,32.01,32.05,31.93,31.87,31.83
1944,31.76,31.65,32.05,32.21,32.31,32.38,32.24,32.05,32.24,32.07,31.94,31.70
1945,31.59,31.56,31.83,31.83,32.10,32.12,31.99,32.14,32.28,32.39,32.16,31.78
1946,31.39,31.46,31.34,31.48,31.62,31.64,31.65,31.69,31.88,32.04,32.03,31.92
1947,31.71,31.57,31.65,31.69,31.80,31.83,31.65,31.79,32.09,32.01,31.55,31.65
1948,31.30,31.41,31.63,31.90,31.70,31.56,31.55,31.82,31.66,31.64,31.52,31.55
1949,31.64,31.82,31.71,31.58,31.62,31.90,31.82,31.67,31.98,32.14,32.05,31.59
1950,31.83,31.61,31.31,31.27,31.51,31.62,31.45,31.58,31.84,31.75,31.29,30.93
1951,30.76,30.99,31.48,31.81,31.89,32.07,31.89,32.04,32.22,32.18,32.04,31.66
1952,31.61,31.39,31.43,31.51,31.59,31.69,31.70,31.81,31.98,32.03,32.00,31.82
1953,31.41,31.09,31.38,31.71,31.79,31.65,31.64,31.69,31.58,31.41,31.26,30.93
1954,30.94,30.91,31.02,31.60,31.87,31.97,31.72,31.61,31.54,31.75,31.29,30.78
1955,30.96,31.25,31.80,32.10,32.29,32.21,32.01,31.87,31.98,31.98,31.84,31.65
1956,31.35,31.26,31.47,31.68,31.84,31.75,31.79,31.88,32.03,31.90,31.51,31.39
1957,31.39,31.74,31.85,31.63,31.87,31.69,32.06,32.06,31.83,31.95,31.88,31.48
1958,31.21,31.06,31.10,31.25,31.64,31.70,31.64,31.63,31.61,31.67,31.61,31.38
1959,31.20,31.27,31.31,31.54,31.66,31.70,31.74,31.73,31.95,32.17,32.06,31.67
1960,31.43,31.51,31.57,31.55,31.44,31.49,31.59,31.66,31.89,31.92,31.52,31.54
1961,31.17,30.94,30.79,31.10,31.52,31.57,31.73,31.79,31.89,32.01,32.01,31.89
1962,31.48,31.41,31.88,31.98,31.95,32.09,32.05,31.91,32.01,31.66,31.45,30.77
1963,30.98,31.20,31.50,31.62,31.53,31.76,31.65,31.66,31.85,31.69,31.11,30.94
1964,30.85,31.00,31.47,31.87,32.18,31.93,31.51,31.46,31.71,31.73,31.68,31.67
1965,31.48,31.26,31.49,31.90,31.95,32.12,32.00,31.98,32.12,31.79,31.41,31.18
1966,31.00,31.15,31.31,31.29,31.65,31.78,31.73,31.67,31.89,31.87,31.62,31.35
1967,30.99,30.93,31.26,31.48,31.54,31.53,31.31,31.44,31.45,31.22,31.05,31.19
1968,31.07,30.96,31.00,31.18,31.49,31.70,31.63,31.64,31.69,31.44,31.08,30.90
1969,31.07,31.19,31.27,31.22,31.31,31.28,31.21,31.78,999.99,31.54,31.30,31.05
1970,31.15,31.09,31.02,31.54,31.81,31.93,31.99,32.00,32.08,32.25,31.94,32.07
1971,31.38,31.34,31.52,31.58,31.89,31.95,31.92,31.79,31.78,31.78,31.52,31.28
1972,31.46,31.60,30.84,30.85,31.63,31.49,31.20,31.47,31.83,31.85,31.79,31.62
1973,31.24,31.27,31.27,31.72,31.77,32.01,32.01,31.94,32.03,32.30,31.77,31.39
1974,30.85,30.76,30.55,30.54,30.85,31.16,31.16,31.36,31.35,31.49,31.48,31.19
