PHARE DE L'ÎLE PIN: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,
1937,6.54,6.34,7.22,7.73,8.62,9.28,9.43,9.95,9.80,9.23,9.54,8.80,,,,
1938,7.85,7.00,7.01,6.76,7.53,8.47,8.98,9.36,8.60,8.02,6.81,7.71,,,,
1939,8.20,7.05,7.04,7.21,8.05,9.02,9.63,9.56,9.08,8.52,8.60,8.78,,,,
1940,8.25,8.38,8.08,9.12,9.53,9.93,10.23,9.91,9.98,10.99,10.05,8.75,,,,
1941,8.57,8.61,8.94,9.51,9.78,10.23,10.69,10.63,10.24,10.25,10.00,8.95,,,,
1942,8.13,8.31,8.02,8.55,9.26,9.95,10.49,10.25,9.79,10.26,8.73,8.08,,,,
1943,7.27,7.00,7.07,8.01,8.69,9.35,9.91,10.14,9.94,9.81,9.23,8.28,,,,
1944,7.90,7.57,7.53,8.05,8.70,9.57,10.29,10.19,9.56,10.12,9.91,8.41,,,,
1945,8.12,7.90,7.71,7.83,8.66,9.39,9.97,9.81,9.51,9.01,7.67,7.19,,,,
1946,7.19,6.91,7.13,7.43,8.53,9.27,9.60,9.73,9.26,8.73,7.64,7.05,,,,
1947,6.60,6.46,7.20,7.87,8.47,9.63,10.29,10.10,9.67,9.98,8.74,8.23,,,,
1948,7.73,7.03,7.03,7.65,8.77,9.65,10.05,9.99,10.13,9.50,8.44,7.10,,,,
1949,6.45,5.99,6.59,7.38,8.49,9.17,9.69,9.85,9.63,9.23,9.57,7.99,,,,
1950,6.30,5.82,6.26,6.74,7.28,8.62,9.71,9.49,9.52,9.13,8.54,8.18,,,,
1951,7.25,7.10,6.70,7.24,8.16,8.95,9.77,9.84,9.55,9.59,8.72,7.61,,,,
1952,6.84,6.71,6.95,7.11,8.03,8.61,9.25,9.39,9.21,9.31,9.27,8.05,,,,
1953,7.59,7.63,7.24,7.59,8.48,9.14,9.89,9.68,10.41,9.49,9.55,8.50,,,,
1954,7.60,7.26,7.18,7.50,8.31,8.79,9.23,9.73,9.95,9.72,9.74,8.66,,,,
1955,7.81,7.38,6.91,7.16,7.87,8.67,9.32,9.38,9.06,9.18,7.57,6.80,,,,
1956,6.63,6.09,6.04,6.82,7.89,8.52,9.33,9.39,8.90,9.24,8.35,7.44,,,,
1957,6.67,6.31,6.45,7.20,8.50,9.03,9.65,10.82,10.22,9.75,9.90,8.89,,,,
1958,8.09,8.21,8.37,8.79,9.41,10.26,10.45,10.63,10.38,9.64,8.93,8.35,,,,
1959,7.49,7.45,7.57,8.04,8.72,9.63,10.02,9.96,9.80,9.39,8.44,7.86,,,,
1960,7.14,7.29,7.12,7.85,9.02,9.23,9.79,9.67,9.24,9.39,8.77,8.10,,,,
1961,7.97,7.87,8.00,8.29,9.08,10.00,10.29,10.29,9.82,8.73,7.79,7.12,,,,
1962,7.02,7.16,6.89,7.62,8.47,9.13,10.00,9.91,9.40,10.23,9.72,8.81,,,,
1963,8.08,7.96,7.77,8.35,9.40,9.71,10.10,10.41,10.82,12.14,9.94,8.87,,,,
1964,8.29,7.79,7.53,7.90,8.22,9.45,9.91,10.05,9.62,9.46,8.51,7.08,,,,
1965,6.63,6.71,6.86,7.68,8.31,9.30,9.89,10.11,9.40,9.47,9.30,8.70,,,,
1966,7.56,7.65,7.49,7.88,8.28,8.95,9.79,9.82,10.08,9.54,8.40,8.07,,,,
1967,7.62,7.22,7.14,7.78,8.74,9.47,10.14,10.25,10.66,10.87,9.05,7.77,,,,
1968,7.02,6.88,7.56,7.64,8.75,9.60,10.47,10.34,10.31,9.22,8.84,7.58,,,,
1969,6.29,6.09,6.69,7.49,8.35,9.40,9.91,9.50,9.37,9.35,9.15,8.40,,,,
1970,7.65,7.99,7.99,7.94,8.39,9.19,9.29,9.55,9.11,8.88,8.32,7.03,,,,
1971,6.81,6.85,6.66,7.07,7.96,8.85,9.56,9.89,10.33,9.37,7.89,6.66,,,,
1972,6.06,5.71,6.28,6.67,7.97,8.73,9.70,9.93,8.97,8.30,8.11,7.46,,,,
1973,7.20,6.78,6.96,7.60,8.35,8.80,9.18,9.59,9.43,9.04,7.81,7.76,,,,
1974,6.85,6.87,6.87,7.54,8.16,8.89,9.32,9.69,9.60,8.88,8.65,7.94,,,,
1975,7.03,6.32,6.71,7.03,7.85,8.55,9.38,9.19,8.93,9.41,8.74,7.56,,,,
1976,7.03,6.84,6.70,7.29,7.91,8.66,9.21,9.48,9.58,9.41,9.14,8.19,,,,
1977,7.95,8.07,7.78,7.88,8.33,9.08,9.37,9.79,9.58,9.58,8.55,7.67,,,,
1978,7.36,7.36,7.74,8.55,9.15,10.16,10.21,10.11,11.08,10.81,8.86,7.69,,,,
1979,6.97,6.60,7.04,7.50,8.23,9.06,9.87,10.07,10.69,10.41,9.64,8.93,,,,
1980,8.20,7.86,7.96,8.55,8.81,9.60,9.83,9.49,9.32,9.69,9.60,8.63,,,,
1981,8.60,8.13,8.47,8.57,9.07,9.49,9.95,10.36,10.57,10.20,9.68,8.52,,,,
1982,7.20,7.01,7.35,7.89,8.55,9.61,10.24,10.26,9.84,9.31,9.16,8.25,,,,
1983,8.18,8.18,8.95,9.20,9.83,10.01,10.66,11.30,10.75,10.10,10.04,8.75,,,,
1984,8.31,8.02,8.54,8.69,9.34,9.97,10.53,10.92,10.50,10.22,8.76,8.25,,,,
