Latitude,Longitude
45.410487,-124.425421
45.448962,-124.415787
45.471982,-124.438236
45.494997,-124.460704
45.518006,-124.483193
45.556488,-124.473587
45.579494,-124.496109
45.602494,-124.518651
45.625488,-124.541214
45.663976,-124.531637
45.686966,-124.554233
45.709951,-124.576849
45.73293,-124.599484
45.771423,-124.589939
45.794397,-124.612608
45.832892,-124.603065
45.871386,-124.593511
45.909881,-124.583945
45.932853,-124.606678
45.971349,-124.597116
46.009845,-124.587544
46.048342,-124.577961
46.086839,-124.568369
46.125335,-124.558766
46.163833,-124.549154
46.186805,-124.571996
46.225303,-124.562389
46.263801,-124.552772
46.3023,-124.543146
46.340799,-124.533511
46.379298,-124.523866
46.402267,-124.546807
46.440767,-124.537169
46.479266,-124.527522
46.517765,-124.517867
46.54073,-124.540876
46.563687,-124.563904
46.586636,-124.586953
46.609579,-124.610023
46.632514,-124.633112
46.655442,-124.65622
46.678364,-124.67935
46.701277,-124.7025
46.724184,-124.725669
46.747083,-124.748859
46.769976,-124.772069
46.79286,-124.795299
46.815737,-124.818548
46.838607,-124.841819
46.861469,-124.865108
46.884325,-124.888418
46.922823,-124.879013
46.961321,-124.869602
46.999817,-124.860183
47.038313,-124.850757
47.076808,-124.841325
47.115301,-124.831885
47.153793,-124.822438
47.176636,-124.845883
47.215127,-124.836446
47.253616,-124.827003
47.292103,-124.817554
47.33059,-124.808097
47.369075,-124.798635
47.407558,-124.789166
47.446041,-124.779692
47.468868,-124.803272
47.491689,-124.826873
47.498829,-124.883543
47.521627,-124.907187
47.544417,-124.930851
47.567199,-124.954534
47.574267,-125.011279
47.597026,-125.035005
47.619778,-125.058751
47.642521,-125.082517
47.680989,-125.073248
47.703724,-125.09705
47.72645,-125.120873
47.749167,-125.144714
47.787629,-125.135489
47.810338,-125.159368
47.833038,-125.183265
47.855731,-125.207183
47.894185,-125.198002
47.916868,-125.221956
47.939543,-125.24593
47.946421,-125.303049
47.953271,-125.360175
47.97591,-125.384213
47.982719,-125.441367
47.989499,-125.498527
47.996252,-125.555694
48.018839,-125.57982
48.041419,-125.603967
48.06399,-125.628132
48.086553,-125.652317
48.109109,-125.676522
48.131657,-125.700747
48.154197,-125.724991
48.176728,-125.749256
48.199252,-125.773539
48.221767,-125.797843
48.244275,-125.822167
48.266774,-125.846509
48.289266,-125.870872
48.311749,-125.895255
48.334225,-125.919656
48.356692,-125.944079
48.379153,-125.968521
48.401604,-125.992982
48.424048,-126.017463
48.446483,-126.041964
48.468911,-126.066486
48.49133,-126.091026
48.513741,-126.115587
48.536145,-126.140167
48.558541,-126.164767
48.580928,-126.189388
48.603308,-126.214028
48.62568,-126.238688
48.648043,-126.263368
48.670398,-126.288067
48.692746,-126.312787
48.715085,-126.337527
48.737417,-126.362286
48.75974,-126.387066
48.782055,-126.411865
48.804363,-126.436685
48.826662,-126.461525
48.848953,-126.486384
48.871236,-126.511264
48.893512,-126.536164
48.915779,-126.561083
48.938038,-126.586023
48.960289,-126.610983
48.982532,-126.635963
49.004767,-126.660964
49.026994,-126.685984
49.049212,-126.711024
49.071423,-126.736086
49.093626,-126.761166
49.115821,-126.786268
49.138008,-126.811389
49.160185,-126.836531
49.182356,-126.861693
49.204518,-126.886876
49.226672,-126.912079
49.248818,-126.937301
49.270956,-126.962545
49.293087,-126.987809
49.315209,-127.013093
49.337323,-127.038398
49.359428,-127.063723
49.365297,-127.122289
49.387381,-127.147657
49.409456,-127.173047
49.431523,-127.198457
49.453583,-127.223887
49.475634,-127.249338
49.497677,-127.274809
49.519712,-127.300301
49.541739,-127.325815
49.563758,-127.351348
49.585768,-127.376901
49.607771,-127.402477
49.629765,-127.428072
49.651751,-127.453687
49.673728,-127.479325
49.695699,-127.504982
49.717661,-127.530661
49.739613,-127.55636
49.761559,-127.58208
49.783497,-127.607822
49.805426,-127.633583
49.827346,-127.659366
49.849259,-127.685169
49.871163,-127.710994
49.89306,-127.73684
49.914947,-127.762707
49.936827,-127.788594
49.958698,-127.814503
49.980562,-127.840433
50.002417,-127.866384
50.024264,-127.892355
50.046103,-127.918349
50.067933,-127.944363
50.089755,-127.970399
50.111569,-127.996456
50.133374,-128.022534
50.155172,-128.048633
50.176961,-128.074753
50.198742,-128.100895
50.220514,-128.127058
50.242279,-128.153242
50.264035,-128.179448
50.285782,-128.205676
50.307522,-128.231925
50.329253,-128.258195
50.350976,-128.284486
50.37269,-128.3108
50.394396,-128.337134
50.416094,-128.363491
50.437784,-128.389869
50.459465,-128.416268
50.481137,-128.442689
50.502802,-128.469132
50.524458,-128.495596
50.546106,-128.522082
50.567745,-128.54859
50.589376,-128.57512
50.610998,-128.601671
50.632612,-128.628245
50.654218,-128.65484
50.675815,-128.681457
50.697404,-128.708095
50.702387,-128.768109
50.707341,-128.828128
50.712269,-128.888152
50.717168,-128.948181
50.72204,-129.008214
50.726885,-129.068252
50.731701,-129.128296
50.736491,-129.188344
50.741253,-129.248397
50.762705,-129.275273
50.784149,-129.302172
50.805583,-129.329094
50.82701,-129.356037
50.848428,-129.383003
50.869836,-129.40999
50.891237,-129.437
50.912629,-129.464033
50.934013,-129.491086
50.955387,-129.518163
50.993522,-129.512042
51.014886,-129.539161
51.053014,-129.533058
51.074366,-129.560221
51.09571,-129.587405
51.133827,-129.581341
51.15516,-129.608568
51.176484,-129.635819
51.214592,-129.629793
51.235904,-129.657087
51.274005,-129.651079
51.295306,-129.678417
51.316599,-129.705776
51.337882,-129.733159
51.359157,-129.760564
51.380423,-129.787993
51.40168,-129.815444
51.42293,-129.842918
51.444169,-129.870414
51.4654,-129.897934
51.486623,-129.925476
51.507837,-129.953042
51.529042,-129.98063
51.550239,-130.008242
51.571426,-130.035876
51.592605,-130.063533
51.613775,-130.091213
51.634936,-130.118917
51.656089,-130.146643
51.677233,-130.174393
51.698368,-130.202167
51.719494,-130.229962
51.740611,-130.257781
51.744786,-130.318986
51.748934,-130.380194
51.770013,-130.408086
51.774118,-130.469323
51.778194,-130.530563
51.782243,-130.591807
51.786264,-130.653055
51.790255,-130.714306
51.811252,-130.742345
51.815202,-130.803625
