time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-27 00:00:00+00:00,2,1,6,2
2023-10-28 00:00:00+00:00,2,1,0,0
2023-10-30 00:00:00+00:00,1,1,4,1
2023-10-31 00:00:00+00:00,2,1,24,2
2023-11-01 00:00:00+00:00,2,1,9,2
2023-11-02 00:00:00+00:00,0,0,61,5
2023-11-03 00:00:00+00:00,22,1,215,15
2023-11-04 00:00:00+00:00,8,2,36,8
2023-11-05 00:00:00+00:00,4,1,0,0
2023-11-06 00:00:00+00:00,16,4,108,8
2023-11-07 00:00:00+00:00,34,3,112,8
2023-11-08 00:00:00+00:00,15,2,63,9
2023-11-09 00:00:00+00:00,22,3,97,7
2023-11-10 00:00:00+00:00,39,4,270,30
